"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 13:49:20 GMT 2021","Fri Aug 06 13:49:26 GMT 2021","6304","","PersonalDetailsTests","","PersonalDetailsTests","testUploadPersonaDetails","PD-01 Regisztrált felhasználó (user) adatainak megadása",""
"passed","Fri Aug 06 13:48:52 GMT 2021","Fri Aug 06 13:48:54 GMT 2021","2689","","RegistrationTests","","RegistrationTests","testNotMatchPasswordRegistration","RI-04 Regisztráció nem egyező jelszavak megadásával",""
"passed","Fri Aug 06 13:49:11 GMT 2021","Fri Aug 06 13:49:14 GMT 2021","2873","","LoginTest","","LoginTest","TestUserLoginWrongPassword","LI-03 Bejelentkezés felhasználóként rossz jelszó megadásával",""
"broken","Fri Aug 06 13:49:26 GMT 2021","Fri Aug 06 13:49:34 GMT 2021","7299","","PersonalDetailsTests","","PersonalDetailsTests","testAddWrongPasswordToChange","PD-02 Felhasználó jelszavának a módosítása rossz jelszót megadva",""
"passed","Fri Aug 06 13:49:00 GMT 2021","Fri Aug 06 13:49:06 GMT 2021","5900","","LogoutTest","","LogoutTest","TestUserLogout","LO-01 User kijlentkezés",""
"broken","Fri Aug 06 13:49:34 GMT 2021","Fri Aug 06 13:49:41 GMT 2021","7285","","PersonalDetailsTests","","PersonalDetailsTests","testAddWrongConfirmPassword","PD-03 Felhasználó jelszavának módosítása, az új jelszó megerősítése helytelenül",""
"passed","Fri Aug 06 13:48:35 GMT 2021","Fri Aug 06 13:48:46 GMT 2021","11814","","RegistrationTests","","RegistrationTests","testNoEmailRegistration","RI-01 Regisztráció email cím megadása nélkül",""
"broken","Fri Aug 06 13:49:41 GMT 2021","Fri Aug 06 13:49:48 GMT 2021","7240","","PersonalDetailsTests","","PersonalDetailsTests","testChangePassword","PD-04 Felhasználó jelszavának módosítása, helyes adatokkal",""
"passed","Fri Aug 06 13:48:49 GMT 2021","Fri Aug 06 13:48:52 GMT 2021","2529","","RegistrationTests","","RegistrationTests","testNotValidPasswordRegistration","RI-03 Regisztráció érvénytelen jelszó megadásával",""
"passed","Fri Aug 06 13:48:54 GMT 2021","Fri Aug 06 13:48:57 GMT 2021","2795","","RegistrationTests","","RegistrationTests","testNoClickTermsCondtsRegistration","RI-05 Regisztráció a felhasználási feltételek elfogadása nélkül",""
"passed","Fri Aug 06 13:49:14 GMT 2021","Fri Aug 06 13:49:20 GMT 2021","5832","","LoginTest","","LoginTest","TestUserLogin","LI-04 Bejelentkezés felhasználóként érvényes adatokkal",""
"broken","Fri Aug 06 13:49:48 GMT 2021","Fri Aug 06 13:50:14 GMT 2021","25706","","PersonalDetailsTests","","PersonalDetailsTests","testUploadUserBillingDetails","PD-05 Felhasználó számlázási adatainak megadása",""
"passed","Fri Aug 06 13:48:47 GMT 2021","Fri Aug 06 13:48:49 GMT 2021","2714","","RegistrationTests","","RegistrationTests","testNoPasswordRegistration","RI-02 Regisztráció jelszó megadása nélkül",""
"passed","Fri Aug 06 13:49:09 GMT 2021","Fri Aug 06 13:49:11 GMT 2021","2723","","LoginTest","","LoginTest","TestUserLoginNoPassword","LI-02 Bejelentkezés felhasználóként jelszó megadása nélkül",""
"passed","Fri Aug 06 13:49:06 GMT 2021","Fri Aug 06 13:49:09 GMT 2021","2701","","LoginTest","","LoginTest","TestUserLoginNoEmail","LI-01 Bejelentkezés felhasználóként email cím megadása nélkül",""
"passed","Fri Aug 06 13:48:57 GMT 2021","Fri Aug 06 13:49:00 GMT 2021","2801","","RegistrationTests","","RegistrationTests","testNoClickPrivacyPolicyRegistration","RI-06 Regisztráció az adatvédelmi feltételek elfogadása nélkül",""
"broken","Fri Aug 06 13:50:14 GMT 2021","Fri Aug 06 13:50:40 GMT 2021","25761","","PersonalDetailsTests","","PersonalDetailsTests","testChangeBackToOriginalPassword","PD-06 Felhasználó jelszavának visszaállítása az eredetire",""
